source,missing_set,experiment_mode,experiment,seed,model_type,model_path,n,latency_s,training_s,r2,mae,rmse,nmae,accuracy,macro_f1,residual_mean,residual_std
internal_test,missing_bod_nh3n,inference_dropout,inference_dropout_missing_bod_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/mpr.joblib,10000,0.0184898134320974,0.0455551035702228,0.0874895837579006,16.240203003122073,19.2986780755907,0.1844010787228576,0.3181,0.3322519022353758,12.879749845368044,14.372601593089628
external_10714,missing_bod_nh3n,inference_dropout,inference_dropout_missing_bod_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/mpr.joblib,10714,0.0140522290021181,0.0455551035702228,0.6527488392973573,7.285410153981338,8.891052199871133,0.1203205640624498,0.5802688071681912,0.3476408890426453,-3.103707024029576,8.332124081119755
internal_test,missing_bod_nh3n,reduced_retraining,reduced_retraining_missing_bod_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod_nh3n/mpr.joblib,10000,0.0028379224240779,0.02362946793437,0.6428101947868486,10.020613082284417,12.074194674917178,0.113780096312983,0.4344,0.399295478685639,-0.0653287969890933,12.0746216853766
external_10714,missing_bod_nh3n,reduced_retraining,reduced_retraining_missing_bod_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod_nh3n/mpr.joblib,10714,0.0110562965273857,0.02362946793437,-0.3101944142391966,15.883863647679414,17.270272047157558,0.2623264021086608,0.2872876610042934,0.2257674537266613,-15.192163419049033,8.21381545310479
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod_nh3n/mpr.joblib,10000,0.0122475866228342,0.1498368084430694,0.7285977248818234,8.537628797398341,10.524837236442709,0.0969413965867871,0.5531,0.5002837556312705,0.0038287914138127,10.525362821310212
external_10714,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,4,mpr,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod_nh3n/mpr.joblib,10714,0.0133886262774467,0.1498368084430694,-0.2863915263407421,15.668230112528176,17.11267460232788,0.2587651546247428,0.2634870263207018,0.2435398521438847,-15.409225892470593,7.443423988340316
internal_test,complete,full_reference,full_reference,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/svm.joblib,10000,9.836730213835835,46.65393810905516,0.9844552471854428,1.823533333843976,2.518839855954998,0.0207054994191435,0.8994,0.8373842492355209,-0.2178516954922594,2.5095267743504275
external_10714,complete,full_reference,full_reference,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/svm.joblib,10714,10.542797243222594,46.65393810905516,0.9643710488883436,2.1315059136085663,2.847953051075,0.0352024098036096,0.899663991039761,0.8030598259891555,-0.7327724053432884,2.752196970332893
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/svm.joblib,10000,9.835784232243896,46.65393810905516,0.0108688182596077,17.13785076369056,20.09257475528649,0.1945935138377491,0.3078,0.3151593118323464,16.612892951038525,11.30204059921399
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/svm.joblib,10714,10.54149273596704,46.65393810905516,0.9073272073970664,3.860585477219094,4.593116194303768,0.063758637113445,0.7459398917304462,0.5541004056517946,1.0876600995329182,4.462686491165263
