source,missing_set,experiment_mode,experiment,model_type,stress_scenario,severity,severity_rank,perturbation_pct,n_seed_window_cases,n_rows_total,mean_delta_score,median_delta_score,mean_score_drop,median_score_drop,mean_pct_score_decreased,mean_pct_drop_ge_1,mean_pct_drop_ge_5,mean_pct_category_worse,window_detection_rate_mean_decrease,window_detection_rate_drop_ge_1,window_detection_rate_any_category_worse
external_10714,complete,full_reference,full_reference,xgboost,conductivity_event,medium_100pct,1,100,535,53570,-0.0531569313982536,-0.0170974731445312,0.0531569313982536,0.0170974731445312,0.6050426575367817,0.0,0.0,0.0042940686592023,0.9813084112149532,0.0,0.3308411214953271
external_10714,complete,full_reference,full_reference,xgboost,organic_pollution,high_300pct,2,300,535,53570,-20.62518086656232,-23.47668838500977,20.62518086656232,23.47668838500977,1.0,1.0,0.94607846765985,0.8998911816415286,1.0,1.0,1.0
external_10714,complete,full_reference,full_reference,xgboost,organic_pollution,low_30pct,0,30,535,53570,-7.773874892475449,-8.046710968017578,7.773874892475449,8.046710968017578,0.9792044045526048,0.9600460812436384,0.7604064032571481,0.4917183307115758,1.0,1.0,1.0
external_10714,complete,full_reference,full_reference,xgboost,organic_pollution,medium_100pct,1,100,535,53570,-15.561208858668246,-17.376041412353516,15.561208858668246,17.376041412353516,1.0,1.0,0.917176089571574,0.7914945868418617,1.0,1.0,1.0
external_10714,complete,full_reference,full_reference,xgboost,suspended_solids_event,high_300pct,2,300,535,53570,-4.777808073525117,-3.924148559570313,4.777808073525117,3.924148559570313,0.8928348292773203,0.8693833626353289,0.4602168964560007,0.2613641158508374,1.0,1.0,1.0
external_10714,complete,full_reference,full_reference,xgboost,suspended_solids_event,low_30pct,0,30,535,53570,-0.9696293659299332,0.0,0.9696293659299332,0.0,0.4433648561117794,0.2653654113074859,0.0159944480429351,0.0517603405200333,1.0,0.3981308411214953,0.983177570093458
external_10714,complete,full_reference,full_reference,xgboost,suspended_solids_event,medium_100pct,1,100,535,53570,-2.5364193403832265,-2.875816345214844,2.5364193403832265,2.875816345214844,0.7371599888960859,0.6221365781437957,0.0990180438604608,0.1393361710002776,1.0,1.0,1.0
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,ammonia_pollution,high_300pct,2,300,535,53570,-6.607644993005039,-6.311212519019993,6.607644993005039,6.311212519019993,0.9500658832238364,0.9128168779494772,0.5783466271860831,0.3760947534005737,1.0,1.0,1.0
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,ammonia_pollution,low_30pct,0,30,535,53570,-1.1879226544747838,-0.9322647472352372,1.1879226544747838,0.9322647472352372,0.8300810585731471,0.481791616544832,0.0272447487739428,0.0728994170445082,1.0,0.8018691588785046,0.9981308411214952
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,ammonia_pollution,medium_100pct,1,100,535,53570,-3.2518498843703862,-2.901573151350817,3.2518498843703862,2.901573151350817,0.911242157860646,0.7813370963264551,0.2638441750717127,0.189728879429999,1.0,1.0,1.0
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,lightgbm,combined_pollution,high_300pct,2,300,535,53570,-33.61128268564952,-35.59445594739198,33.61128268564952,35.59445594739198,0.9997386878874802,0.9993093365411309,0.9923988155824928,0.9931081706301472,1.0,1.0,1.0
