source,missing_set,experiment_mode,experiment,model_type,metric,point_estimate,bootstrap_mean,ci95_low,ci95_high,n_bootstrap,n_runs,n_per_run
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,rmse,6.551505642280394,6.550584790610589,6.505835572033022,6.59473327732078,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,nmae,0.0545577050220411,0.0545624498792372,0.0538481600294754,0.0552311493654013,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,accuracy,0.7754000000000001,0.7753981999999999,0.77266,0.777284,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lightgbm,macro_f1,0.7230907835889167,0.7223200109595623,0.7035348234367149,0.7392085154084843,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,r2,0.6833731316560011,0.6834657408732966,0.6805203983812836,0.6863507928984482,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,mae,9.163014988793048,9.161252763144905,9.125564150856784,9.198408696667292,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,rmse,11.335372297968464,11.33256602918067,11.28267751625732,11.38369454082802,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,nmae,0.1051238377286902,0.1051335747542402,0.1033882976458259,0.106646101583565,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,accuracy,0.47918,0.4792239,0.4782990000000001,0.48018,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,lr,macro_f1,0.4078675501052217,0.4081917970624076,0.4036795166987608,0.412051429301541,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,mpr,r2,0.7776383978324516,0.7777042472950206,0.7748358947690338,0.7806203988201601,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,mpr,mae,7.717389673834442,7.716933790334242,7.668806240952482,7.768119947507013,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,mpr,rmse,9.499194160960949,9.49626933150561,9.438402981894365,9.54887830411444,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,mpr,nmae,0.0885352822851991,0.0885599459833417,0.0874825995850122,0.0895872733089926,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,mpr,accuracy,0.54384,0.5438339,0.540314,0.5488835000000001,200,5,10000
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,mpr,macro_f1,0.4865138336211154,0.4868036462147861,0.4771174176987346,0.4959349772954219,200,5,10000
