dataset_size,dataset,fold,model_type,split,n_samples,r2,mae,rmse,nmae,accuracy,macro_f1,training_s,prediction_s
1000,dataV1_1000,5,lr,train,800,0.8093447413086899,6.693301210394309,8.58707524093339,0.0882090301844268,0.64875,0.512132793810195,0.0072168540209531,0.0021354760974645
1000,dataV1_1000,5,lr,test,200,0.8222088792677114,6.718078421087143,8.468723794504974,0.0838816134484597,0.62,0.464070699495493,0.0072168540209531,0.0018025022000074
1000,dataV1_1000,5,mpr,train,800,0.9193605468638566,4.469580740488436,5.584633291206377,0.0589032780770748,0.76875,0.6177708051562186,0.0854767952114343,0.0375332720577716
1000,dataV1_1000,5,mpr,test,200,0.9089735930413289,4.784325916474495,6.059637367790899,0.0597368699772068,0.72,0.5264540612366699,0.0854767952114343,0.0203173216432333
1000,dataV1_1000,5,svm,train,800,0.9825763910901124,1.813857068980549,2.595911791461319,0.0239042839876192,0.88875,0.8678414177537584,0.1039993558079004,0.0722036082297563
1000,dataV1_1000,5,svm,test,200,0.9746955546862182,2.1640050425778345,3.194929988647088,0.0270196659080763,0.905,0.8995947349484169,0.1039993558079004,0.0227656550705432
1000,dataV1_1000,5,rf,train,800,0.9979767421390356,0.5868125000000006,0.8845990979738233,0.0077334277807063,0.9775,0.9688958954903404,1.2434472627937794,0.1516344156116247
1000,dataV1_1000,5,rf,test,200,0.9859019955944608,1.6503724999999974,2.384743951045896,0.0206064739667873,0.93,0.8990994692689609,1.2434472627937794,0.1072102002799511
1000,dataV1_1000,5,xgboost,train,800,0.9999446479989564,0.1066413120269774,0.146314557046244,0.0014053942017261,0.9975,0.9972657610588644,1.4352534245699644,0.0876878127455711
1000,dataV1_1000,5,xgboost,test,200,0.9932643885866836,1.0727855033874514,1.6483576461164888,0.0133947496989318,0.94,0.932009846077446,1.4352534245699644,0.0965763200074434
1000,dataV1_1000,5,lightgbm,train,800,0.9995757601432228,0.2639393213051179,0.405066761409398,0.0034783779824079,0.99125,0.9869647851766518,5.981168951839209,0.0162805989384651
1000,dataV1_1000,5,lightgbm,test,200,0.993406950644526,1.004942276407315,1.6308202607149844,0.0125476623349646,0.945,0.93514902573155,5.981168951839209,0.0137121696025133
10000,dataV1_10000,1,lr,train,8000,0.7949359163048766,6.763545922757055,8.757066470576655,0.0770160091409366,0.625875,0.5341260549631738,0.0130725912749767,0.0124737098813056
10000,dataV1_10000,1,lr,test,2000,0.7870959477112062,6.8767417350859965,8.88961792209179,0.079481527220134,0.607,0.5160914425770641,0.0130725912749767,0.0118128005415201
10000,dataV1_10000,1,mpr,train,8000,0.8940808831891314,5.0267435817141735,6.29362729633227,0.0572391662686651,0.749875,0.6291609575232586,0.0200520083308219,0.0401222184300422
10000,dataV1_10000,1,mpr,test,2000,0.8850653740859776,5.075389435473091,6.531554797739148,0.0586614590322826,0.741,0.5950866612047427,0.0200520083308219,0.0245875474065542
10000,dataV1_10000,1,svm,train,8000,0.987014739194272,1.6360385593421345,2.203632575296837,0.018629452964497,0.91225,0.7879111857471134,5.412165965884924,4.060329826548696
10000,dataV1_10000,1,svm,test,2000,0.9823137278243091,1.7881706866230411,2.562177915750459,0.0206677148245843,0.9035,0.7405550189393201,5.412165965884924,1.002329921349883
10000,dataV1_10000,1,rf,train,8000,0.999429150995306,0.2776722416666709,0.4620345681013027,0.0031618337698322,0.98325,0.9620875746774438,2.770434312522412,0.3047962225973606
10000,dataV1_10000,1,rf,test,2000,0.996077093447346,0.7473607333333369,1.206688330848343,0.0086380112498074,0.9565,0.953039267055708,2.770434312522412,0.1500646956264972
10000,dataV1_10000,1,xgboost,train,8000,0.9997076157707055,0.2328119686698913,0.3306669710886722,0.0026510130798211,0.987375,0.9879478047685794,1.3498230297118423,0.2030532881617546
10000,dataV1_10000,1,xgboost,test,2000,0.9989710209631136,0.3948287329101563,0.6180084241119052,0.0045634388917031,0.9785,0.980104115723354,1.3498230297118423,0.0880388412624597
10000,dataV1_10000,1,lightgbm,train,8000,0.9995186411312914,0.288466516465188,0.42427587154067,0.0032847473976905,0.985875,0.9393363555997554,9.654270464554427,0.0755781568586826
10000,dataV1_10000,1,lightgbm,test,2000,0.998804329880978,0.4336588305756143,0.6661880213812787,0.0050122379863108,0.9805,0.980724963474692,9.654270464554427,0.0277428571134805
10000,dataV1_10000,2,lr,train,8000,0.7916641838125222,6.833535188334912,8.812030470223926,0.077812971855328,0.612375,0.522465372347248,0.0112678166478872,0.0764717478305101
10000,dataV1_10000,2,lr,test,2000,0.8001355683983031,6.745347438718439,8.670194354719062,0.0799685529190093,0.6275,0.520365831198406,0.0112678166478872,0.0148245617747306
10000,dataV1_10000,2,mpr,train,8000,0.8923614863916273,5.075447132486307,6.3339971984942025,0.057793750085246,0.739125,0.5984627571113327,0.0305103790014982,0.0535703096538782
10000,dataV1_10000,2,mpr,test,2000,0.8953024122833059,5.037948590923341,6.275226618908818,0.0597267171419483,0.754,0.6326595271356404,0.0305103790014982,0.0252711586654186
10000,dataV1_10000,2,svm,train,8000,0.986744174002078,1.644804205260783,2.222784800205581,0.0187292667417533,0.90975,0.7486507630411431,5.625902742147446,4.494284676387906
10000,dataV1_10000,2,svm,test,2000,0.9858028158089596,1.7364265580201033,2.3107990744071487,0.0205859698639016,0.9135,0.8514522935905223,5.625902742147446,0.8365315236151218
10000,dataV1_10000,2,rf,train,8000,0.9994318538502448,0.2793802583333329,0.4601760955553386,0.0031812828323085,0.984,0.9643950510093932,2.588949652388692,0.2215048056095838
10000,dataV1_10000,2,rf,test,2000,0.9956503322914158,0.7636075333333342,1.279054696560879,0.0090528456826714,0.9595,0.9553632059799848,2.588949652388692,0.1295253559947013
10000,dataV1_10000,2,xgboost,train,8000,0.9997307367297804,0.2260701790046692,0.3167981078513778,0.002574244807614,0.988,0.9893014670737292,1.169923672452569,0.0794909819960594
10000,dataV1_10000,2,xgboost,test,2000,0.998938586159418,0.4047502459716796,0.6318346655093111,0.0047984617186921,0.9805,0.985141564749715,1.169923672452569,0.0564659293740987
10000,dataV1_10000,2,lightgbm,train,8000,0.9995080278696,0.2901651170891615,0.4282173618969759,0.0033040892403684,0.984375,0.955506010169656,29.091008320450783,0.0675575602799654
10000,dataV1_10000,2,lightgbm,test,2000,0.998546611851664,0.4446429163505182,0.7393530754294744,0.0052714038690043,0.977,0.9768521338148402,29.091008320450783,0.0161429587751626
10000,dataV1_10000,3,lr,train,8000,0.7902508441150753,6.856945529024573,8.851241782256473,0.0780795437146956,0.61525,0.5204582788271422,0.0257469937205314,0.0297774318605661
10000,dataV1_10000,3,lr,test,2000,0.8056165396678591,6.707447574011884,8.514642352548442,0.0790786085122834,0.6185,0.5478814204981819,0.0257469937205314,0.0248182732611894
10000,dataV1_10000,3,mpr,train,8000,0.892065336216301,5.07556553573834,6.3494274445468015,0.057795098334529,0.745375,0.6193512592538523,0.0317934546619653,0.0180527325719594
10000,dataV1_10000,3,mpr,test,2000,0.896636857836191,5.014115777704388,6.208970661158541,0.0591147816282054,0.7395,0.5886531905954916,0.0317934546619653,0.0140260495245456
10000,dataV1_10000,3,svm,train,8000,0.9867535647629804,1.6494323386505636,2.224352455088124,0.0187819669625434,0.911875,0.8219174256418332,6.619546892121434,5.663864629343152
10000,dataV1_10000,3,svm,test,2000,0.9848468685286036,1.762359705710473,2.377321684747066,0.0207776433118424,0.9055,0.7359257425776402,6.619546892121434,1.3799521289765837
10000,dataV1_10000,3,rf,train,8000,0.999429265757294,0.2773994208333337,0.4617118896426224,0.0031587271786988,0.98325,0.9627028085757022,2.905001498758793,0.2747271452099085
