DO,BOD,NH3N,EC,SS,Score
88.7,1.3,0.1,241,3,91.74
70.9,13.1,8.08,1410,6.5,50.85
73.2,11.4,4.08,1020,37.6,46.58
96.6,1.8,0.35,697,7.5,87.07
67.4,9.9,2.11,1350,14.7,50.69
100.7,2.9,0.56,517,35.1,71.6
91.8,8.2,2.28,638,21.3,62.45
91.7,3.6,0.92,349,6.8,74.81
47.4,0.2,0.02,482,1,77.05
44.6,16,1.13,361,32.6,35.19
69.3,6.3,8.93,2600,13.1,49.91
52.4,13.5,8.44,2100,18,37.26
75.3,3.7,0.45,615,51.4,60.69
40.9,13.4,3.75,2000,37.6,30.2
77.6,3.9,1.11,582,11.7,65.46
52.6,5.8,0.81,488,19.1,50.62
69.7,7.6,2.15,413,18.8,53.46
55.8,9.4,9.78,4800,15.4,40.48
81.6,7.8,8.41,3550,12.2,55.9
69.4,2,1.79,20800,29.5,60.18
69.3,9.5,5.02,4280,17.8,47.9
88.3,2.5,0.23,233,20.8,81.02
92.8,2.7,0.27,297,8.8,84.07
93.8,2.6,0.29,404,8.3,84.3
70.8,2,0.78,14800,36.2,64.55
79.3,10,2.47,304,12.4,57.74
103.7,0.2,0.02,315,3.2,97.16
100.4,1,0.03,303,3.3,94.53
104.7,0.9,0.02,303,3.4,94.71
100.9,0.2,0.01,311,2.2,97.53
101.6,0.4,0.01,225,2.8,96.88
83.4,6.7,1.05,488,88.8,55.87
72.4,2.8,0.31,606,74.6,63.48
102.8,0.7,0.06,421,7,95.04
103.8,7.4,0.06,449,4.9,78.35
97.2,14.6,0.15,500,7.6,73.82
63.2,2.7,2.03,15700,16.4,58.57
77.6,2,1.61,38200,20.1,70.72
54.2,3,1.7,12000,18.9,53.8
96.8,4.2,0.3,378,37.2,70.56
84,3.8,1.08,342,12.3,68.34
68.4,4.9,1.31,22800,16.4,56.78
75.9,3.1,0.55,27400,34.8,65.2
98.6,1.5,0.1,190,5.5,91.55
107.2,1.2,0.06,310,7.2,92.65
87.4,0.9,0.03,191,3.3,94.1
100.8,0.1,0.03,415,4.3,97.51
104.6,0,0.02,417,8.2,97.45
100,1.8,0.06,392,93.8,78.44
101.7,4.8,0.02,202,1,81.99
97.1,10.1,0.04,276,2.6,77.05
100,1.5,0.04,252,2.7,92.37
102.6,0.1,0.03,288,2.5,97.39
100.6,2.6,0.06,224,6.2,87.36
109.6,7.6,0.06,293,13.8,73.62
106.6,1.4,0.09,1100,2.7,91.45
101.2,0.6,0.02,276,1,96.1
104.3,4.8,0.08,366,41.2,68.54
88.2,20.3,1.62,474,75.6,50.58
123.2,1.5,0.1,535,3.1,87.61
90.6,3.9,3.87,513,9.3,68.79
86,2.5,2.2,517,48.9,62.96
100.2,3.9,1.57,484,16.4,68.83
73.1,2.6,2.31,420,6.9,68.93
63.5,2.1,1.83,392,12.8,61.95
101.2,1.9,0.59,472,8,84.02
93.7,1.7,0.28,433,12,84.45
90.2,2.2,0.34,462,52.8,72.69
90.7,1.9,0.43,689,59.8,73.03
103.9,6.9,0.11,346,18,74.35
102.1,12.7,0.04,347,6.4,75.75
92.6,2.6,0.42,205,9.7,82.72
102,1,0.1,294,18.6,89.61
105,0.7,0.1,301,16.1,90.45
70.4,2.2,1.56,826,51.2,57.49
99.2,1.4,0.32,552,246,73.89
102,1.8,0.22,552,358,73.28
99.8,4.2,0.28,548,218,64.09
127.2,0.6,0.08,418,6.4,90.31
106.3,0.8,0.05,465,2.7,94.45
111.6,0.1,0.06,462,2.4,95.76
99.6,1.5,0.09,570,472,74.55
95.8,2.2,0.37,552,494,68.01
93.2,2.7,0.52,606,394,66.11
89.5,1.9,0.81,587,245,66.65
